track_name,duration_ms,energy,danceability,loudness,valence,tempo,time_signature,pitch_avg,timbre_avg,key_change_percentage,mode_avg,playlist
"Fantasia & Fugue In A Minor, BWV 944: Fantasia",43800,0.309,0.287,-19.129,0.0659,125.582,4,"[0.31, 0.27, 0.28, 0.16, 0.55, 0.25, 0.15, 0.18, 0.23, 0.41, 0.15, 0.41]","[39.79, -82.84, 38.99, -2.37, 24.51, -33.33, -11.11, -4.58, -5.31, -5.17, 0.38, 5.77]",50.0,0.33,ja
"Suite In E Minor, BWV 996 - Transp. In G Minor: 5. Bourrée",75827,0.303,0.572,-18.894,0.684,79.275,3,"[0.31, 0.1, 0.42, 0.11, 0.08, 0.19, 0.13, 0.38, 0.13, 0.39, 0.45, 0.14]","[36.67, -76.35, -17.43, 13.69, 11.34, -20.28, -19.5, -13.72, -2.73, 1.83, -8.35, 7.48]",75.0,0.25,ja
"Suite No.2 In B Minor, BWV 1067: 7. Menuet",90987,0.0262,0.588,-19.945,0.438,97.788,3,"[0.34, 0.33, 0.13, 0.29, 0.11, 0.41, 0.22, 0.1, 0.33, 0.19, 0.43, 0.07]","[35.15, -15.38, 38.5, -9.53, 67.01, -12.18, -7.91, -6.63, 17.2, 9.2, -17.46, -0.79]",66.66666666666666,0.25,ja
"Prelude & Fugue in C Minor (Well-Tempered Clavier, Book I, No. 2), BWV 847: 1. Prelude",84453,0.18,0.389,-25.022,0.384,64.889,4,"[0.44, 0.25, 0.31, 0.45, 0.29, 0.39, 0.22, 0.4, 0.31, 0.19, 0.14, 0.19]","[30.61, -151.51, 21.56, 9.09, 40.52, -33.8, -14.19, 6.91, -18.66, -7.64, -0.99, -3.06]",0.0,0.33,ja
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",134933,0.191,0.391,-25.097,0.44,99.848,4,"[0.29, 0.25, 0.33, 0.21, 0.4, 0.18, 0.35, 0.35, 0.13, 0.21, 0.08, 0.22]","[31.69, -57.67, 35.09, -1.09, 5.96, -11.22, -11.41, -5.29, -12.09, -0.71, -9.84, -8.85]",85.71428571428571,0.71,ja
"Goldberg Variations, BWV 988: Variatio 21 Canone alla Settima. (a 1 Clav.)",276507,0.0421,0.445,-27.066,0.356,117.32,4,"[0.25, 0.09, 0.31, 0.15, 0.14, 0.2, 0.13, 0.28, 0.09, 0.21, 0.25, 0.07]","[29.18, -163.72, 14.73, 6.96, 58.38, -23.82, -18.69, 7.38, -11.28, -6.39, -0.7, -3.68]",90.9090909090909,0.43,ja
"Orgelbüchlein: 5. Puer natus in Bethlehem, BWV 603",60128,0.0457,0.3,-29.854,0.447,61.142,1,"[0.38, 0.25, 0.32, 0.26, 0.13, 0.19, 0.16, 0.25, 0.09, 0.22, 0.29, 0.18]","[29.64, -84.43, -5.89, -29.67, 4.91, -31.46, 12.68, 6.87, -25.61, -3.41, -2.94, 10.48]",66.66666666666666,0.33,ja
"Erbarm dich mein, o Herre Gott, BWV 721 (Arr. A. Balio for Trumpet & Organ)",222000,0.013,0.114,-23.46,0.0578,81.203,4,"[0.13, 0.23, 0.41, 0.1, 0.22, 0.06, 0.36, 0.32, 0.11, 0.41, 0.11, 0.37]","[33.2, -90.95, 57.37, -8.98, 17.28, -29.69, 25.9, 7.93, -27.09, -11.54, 0.02, 11.46]",90.0,0.55,ja
"Toccata And Fugue In D Minor, BWV 538 ""Dorian"": 1. (Toccata)",316093,0.239,0.179,-18.427,0.169,77.843,4,"[0.33, 0.3, 0.45, 0.2, 0.38, 0.38, 0.21, 0.33, 0.18, 0.48, 0.24, 0.22]","[40.56, 54.87, 44.67, -11.51, 26.79, -26.67, -4.91, -3.44, -7.83, -1.83, -5.97, 3.01]",90.9090909090909,0.64,ja
"Concerto in F major, BWV 978 (from Vivaldi RV 310) - Arr. for harp and orchestra by N.Zabaleta: 2. Largo",159307,0.0855,0.513,-17.916,0.125,77.147,4,"[0.2, 0.23, 0.47, 0.11, 0.2, 0.12, 0.15, 0.33, 0.14, 0.46, 0.15, 0.13]","[34.62, -79.93, 26.09, 1.68, 38.91, -20.56, -19.62, 1.72, -2.53, -2.01, -7.22, -6.53]",90.0,0.9,ja
"Lute Suite in E Minor, BWV 996 (Arr. J. Williams for Guitar): IV. Sarabande",269893,0.00996,0.415,-30.74,0.256,172.05,1,"[0.2, 0.19, 0.19, 0.11, 0.16, 0.06, 0.31, 0.34, 0.22, 0.27, 0.16, 0.39]","[23.38, -117.99, -23.04, 5.28, 69.71, -29.59, -21.88, 4.34, -7.83, 5.7, -9.15, -1.62]",90.0,0.77,nei
"Violin Partita No. 3 in E Major, BWV 1006: I. Preludio",214227,0.318,0.464,-17.351,0.946,125.669,3,"[0.15, 0.3, 0.13, 0.12, 0.26, 0.07, 0.19, 0.07, 0.28, 0.3, 0.08, 0.26]","[39.13, 88.8, 114.57, 42.22, 68.31, -6.42, -47.49, -10.93, -2.08, 0.8, -5.27, -10.12]",87.5,0.73,nei
"Suite for Cello Solo No.6 in D, BWV 1012: 5. Gavotte I-II",273560,0.0588,0.485,-18.57,0.593,65.267,4,"[0.07, 0.14, 0.46, 0.21, 0.26, 0.17, 0.26, 0.28, 0.11, 0.38, 0.12, 0.14]","[36.87, -39.74, 39.99, 2.39, 16.6, 3.03, -15.73, -5.84, -19.24, -4.76, -11.74, 5.31]",88.88888888888889,0.75,nei
"Sonata for Viola da Gamba No. 3 in G Minor, BWV 1029: II. Adagio",258360,0.0197,0.254,-30.529,0.182,86.088,4,"[0.33, 0.15, 0.25, 0.16, 0.14, 0.29, 0.13, 0.32, 0.12, 0.26, 0.33, 0.19]","[25.77, -53.64, 6.32, -20.05, 26.36, -27.83, -10.73, -4.17, -7.45, -0.67, -6.32, 3.93]",90.0,0.69,nei
"Erster Teil - Jauchzet, Frohlocket, Auf, Preiset Die Tage: Aria (Bass) - Großer Herr, O Starker König (Bach)",268200,0.324,0.531,-12.987,0.69,93.163,4,"[0.4, 0.57, 0.22, 0.33, 0.23, 0.42, 0.33, 0.3, 0.54, 0.19, 0.28, 0.17]","[42.5, 29.02, 66.33, 3.49, 11.67, -4.63, -11.25, -0.26, -6.04, -6.42, -10.38, -5.75]",85.71428571428571,0.85,nei
"St. Matthew Passion, BWV 244: Pt. I: No. 1, Chorus. Kommt, ihr Tochter, helft mir klagen (Chorus, Soprano in ripieno)",397293,0.121,0.221,-19.797,0.126,136.425,5,"[0.34, 0.25, 0.31, 0.2, 0.42, 0.2, 0.36, 0.31, 0.19, 0.28, 0.19, 0.49]","[36.31, -32.87, 91.43, 6.98, 40.62, -25.17, 2.29, 3.26, -10.99, -2.76, -4.54, 0.26]",83.33333333333333,0.33,nei
"Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)",326520,0.0414,0.384,-23.019,0.0618,71.224,4,"[0.17, 0.36, 0.3, 0.14, 0.33, 0.14, 0.4, 0.26, 0.14, 0.25, 0.09, 0.28]","[28.47, -141.74, 16.4, 2.98, 64.61, -31.78, -3.96, 5.14, -9.65, -2.96, -4.72, -8.26]",91.66666666666667,0.64,nei
"Concerto in D Minor for Two Violins, BWV 1043: Concerto in D Minor for Two Violins, BWV 1043: I. Vivace",208493,0.473,0.61,-15.869,0.809,107.517,4,"[0.33, 0.51, 0.18, 0.34, 0.32, 0.26, 0.39, 0.24, 0.43, 0.26, 0.28, 0.35]","[40.49, 58.71, 41.51, 4.5, 21.56, -5.9, -24.35, -10.69, 3.81, 2.79, -12.93, -5.25]",87.5,0.22,nei
"Flute Sonata in C Major, BWV 1033: II. Allegro",144000,0.225,0.605,-23.603,0.905,125.561,4,"[0.66, 0.26, 0.38, 0.21, 0.26, 0.19, 0.21, 0.43, 0.2, 0.29, 0.07, 0.27]","[33.95, -22.51, 83.28, 35.1, 31.72, -9.2, 2.35, -3.27, -6.79, -3.41, -10.49, -10.14]",83.33333333333333,0.86,nei
"Goldberg Variations, BWV 988: Variation 4 a 1 Clav.",50480,0.461,0.562,-14.43,0.961,86.493,4,"[0.23, 0.18, 0.32, 0.07, 0.26, 0.05, 0.31, 0.38, 0.07, 0.32, 0.06, 0.31]","[42.82, -53.68, 37.2, 42.06, 37.52, -19.28, -20.76, -5.83, -0.25, 0.94, -7.39, -0.91]",0.0,1.0,nei
"Goldberg Variations, BWV 988: Variation 5 a 1 ovvero 2 Clav.",37027,0.208,0.409,-22.097,0.869,82.027,1,"[0.29, 0.25, 0.43, 0.13, 0.36, 0.08, 0.37, 0.34, 0.12, 0.34, 0.09, 0.29]","[36.06, -96.52, 52.31, 20.8, 49.93, -24.3, -18.94, -6.04, 1.58, -2.59, -2.17, -1.63]",0.0,1.0,nei
"Goldberg Variations, BWV 988: Variation 9 a 1 Clav. Canone alla Terza",59373,0.223,0.537,-24.337,0.961,97.19,4,"[0.24, 0.18, 0.3, 0.14, 0.28, 0.07, 0.26, 0.36, 0.11, 0.34, 0.09, 0.29]","[32.47, -120.98, 46.14, 39.48, 56.04, -27.42, -3.92, 6.2, 2.62, 0.3, -6.1, -5.27]",66.66666666666667,0.67,nei
"Goldberg Variations, BWV 988: Variation 14 a 2 Clav.",64707,0.29,0.43,-17.084,0.964,94.367,4,"[0.23, 0.18, 0.33, 0.13, 0.23, 0.11, 0.31, 0.33, 0.12, 0.35, 0.11, 0.32]","[39.69, -71.05, 58.43, 30.15, 43.32, -27.55, -14.84, -2.16, -3.12, -0.41, -9.0, -0.18]",75.0,0.75,nei
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",152280,0.157,0.275,-18.752,0.304,73.289,4,"[0.21, 0.19, 0.28, 0.11, 0.2, 0.22, 0.43, 0.42, 0.18, 0.37, 0.11, 0.25]","[36.75, -54.18, 23.9, -16.73, 3.25, -21.85, -9.65, -3.08, -6.89, -3.9, -6.48, -3.92]",83.33333333333333,0.88,nei
"Weihnachts-Oratorium, BWV 248, Pt. 2: Schlafe, mein Liebster",603000,0.0308,0.207,-28.161,0.102,114.032,4,"[0.2, 0.43, 0.16, 0.28, 0.12, 0.29, 0.46, 0.16, 0.33, 0.14, 0.36, 0.34]","[28.71, -72.91, 44.43, -9.93, 46.67, -30.13, 2.73, 1.63, 1.26, -2.88, -3.0, 10.82]",95.23809523809524,0.84,nei
"Harpsichord Concerto in E Major, BWV 1053: I. Allegro",458133,0.296,0.509,-16.694,0.797,94.442,4,"[0.23, 0.48, 0.19, 0.27, 0.31, 0.13, 0.31, 0.13, 0.37, 0.21, 0.15, 0.44]","[40.0, 48.7, 40.95, -1.09, 49.73, -15.1, -16.98, -3.17, -7.19, 4.97, -9.94, 2.67]",94.73684210526315,0.65,nei
"Weihnachts-Oratorium, BWV 248, Pt. 1: Jauchzet, frohlocket",449093,0.317,0.445,-16.443,0.478,139.178,3,"[0.36, 0.54, 0.36, 0.44, 0.24, 0.42, 0.36, 0.26, 0.51, 0.29, 0.35, 0.21]","[39.14, -10.49, 65.65, 3.88, 38.13, -15.99, 3.6, 1.28, -4.41, -2.41, -8.82, 3.18]",88.88888888888889,0.81,nei
Nun danket alle Gott BWV 386,147760,0.292,0.158,-16.738,0.37,67.587,4,"[0.34, 0.3, 0.58, 0.18, 0.28, 0.15, 0.32, 0.6, 0.26, 0.36, 0.16, 0.31]","[40.57, -3.38, 48.01, -7.35, 21.74, -31.15, -0.57, 0.91, 4.73, 1.93, -4.94, 3.63]",50.0,1.0,nei
"Concerto in D Minor for Two Violins, BWV 1043: Concerto in D Minor for Two Violins, BWV 1043: II. Largo ma non tanto",387400,0.153,0.123,-20.18,0.115,86.509,3,"[0.29, 0.43, 0.19, 0.3, 0.38, 0.2, 0.3, 0.17, 0.33, 0.31, 0.24, 0.44]","[35.62, 55.48, 43.59, -15.62, 20.52, -22.19, -26.42, -4.97, 9.05, 4.74, -8.79, -7.14]",90.0,0.76,nei
"Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga",140040,0.0555,0.31,-25.695,0.566,70.515,4,"[0.27, 0.17, 0.31, 0.13, 0.3, 0.08, 0.23, 0.34, 0.1, 0.3, 0.07, 0.34]","[29.48, -135.41, 54.98, 23.21, 73.44, -26.14, -0.38, 10.77, -3.74, -2.89, -4.61, -8.48]",80.0,0.57,nei
"Prelude No. 3 in C# Major from The Well-Tempered Clavier Book I, BWV 848",81493,0.251,0.322,-19.044,0.904,128.837,4,"[0.19, 0.38, 0.13, 0.32, 0.11, 0.31, 0.3, 0.11, 0.38, 0.11, 0.24, 0.1]","[38.29, -119.2, 60.32, 26.35, 37.95, -28.75, -3.81, 2.27, -2.67, -3.23, -2.43, -7.31]",75.0,0.8,nei
"Keyboard Concerto in A Major, BWV 1055: I. Allegro",264173,0.372,0.539,-17.716,0.779,98.066,4,"[0.35, 0.56, 0.33, 0.27, 0.36, 0.14, 0.31, 0.14, 0.35, 0.45, 0.21, 0.4]","[39.49, 69.77, 34.8, -3.33, 52.5, -19.67, -14.92, -7.65, -9.57, 3.74, -9.54, -1.1]",90.9090909090909,0.85,nei
"Brandenburg Concerto No. 3 in G Major, BWV 1048: II. [Adagio]",89960,0.0214,0.204,-24.423,0.225,94.003,4,"[0.17, 0.17, 0.16, 0.3, 0.07, 0.21, 0.16, 0.12, 0.21, 0.12, 0.46, 0.22]","[31.07, 96.7, 109.77, 7.79, 80.5, -22.03, -22.58, -4.47, 2.35, 2.29, -4.35, 10.98]",75.0,0.25,nei
"Mass in B Minor, BWV 232: Sanctus & Benedictus - Sanctus (Chorus)",289827,0.257,0.231,-19.028,0.369,79.628,4,"[0.42, 0.57, 0.28, 0.47, 0.25, 0.49, 0.34, 0.24, 0.4, 0.21, 0.32, 0.19]","[37.79, 10.79, 115.76, 17.0, 60.13, -26.21, 3.25, 1.51, -2.39, -1.29, -4.22, 6.55]",92.85714285714286,0.75,nei
"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. [Allegro]",332320,0.369,0.567,-14.772,0.891,101.105,4,"[0.25, 0.54, 0.21, 0.32, 0.15, 0.36, 0.32, 0.13, 0.29, 0.12, 0.34, 0.23]","[41.93, 4.81, 32.73, -3.97, 38.05, -8.67, -16.53, -9.15, -4.83, 1.69, -10.78, 2.91]",92.85714285714286,0.87,nei
"Brandenburg Concerto No.5 in D, BWV 1050: 1. Allegro",636427,0.243,0.316,-19.476,0.662,84.886,4,"[0.26, 0.43, 0.4, 0.16, 0.34, 0.17, 0.35, 0.3, 0.23, 0.46, 0.15, 0.27]","[35.84, 26.35, 69.83, 12.62, 44.6, -19.37, 0.0, 0.26, -6.81, 2.36, -10.06, -6.0]",94.73684210526316,0.88,nei
