id,name,range,rating,id_copy,energy,danceability,loudness,valence,tempo,mode,speechiness,acousticness,instrumentalness,duration_ms,time_signature
0IuE6FnXPCdZ8NLuuvJRhb,On Track,medium_term,6.242424242424242,0IuE6FnXPCdZ8NLuuvJRhb,0.648,0.388,-5.578,0.112,163.861,1,0.038,0.116,4.19e-06,301787,4
5hZhO6GpnkWQs9ZlI3bQQ2,Death In The Family,medium_term,6.181818181818182,5hZhO6GpnkWQs9ZlI3bQQ2,0.427,0.478,-9.023,0.21,77.944,1,0.025,0.865,0.00131,163209,3
02qdK5VnAz2LkREkpbxekf,This Is Not,medium_term,6.121212121212121,02qdK5VnAz2LkREkpbxekf,0.633,0.635,-6.92,0.795,131.785,1,0.0281,0.0449,7.89e-05,290160,4
2Y0iGXY6m6immVb2ktbseM,Little Dark Age,medium_term,6.0606060606060606,2Y0iGXY6m6immVb2ktbseM,0.712,0.705,-6.156,0.62,97.512,1,0.0385,0.0102,0.000855,299960,4
5vZ4IeUenK2cHub2d7yfWk,Radio,medium_term,5.9393939393939394,5vZ4IeUenK2cHub2d7yfWk,0.894,0.652,-5.145,0.76,132.03,0,0.0409,0.00404,0.00381,277397,4
1Sde10QOuzSGWRWdnZ5ONc,The Fear (2003),medium_term,5.878787878787879,1Sde10QOuzSGWRWdnZ5ONc,0.981,0.476,-6.687,0.21,104.404,0,0.0672,0.13,0.701,166387,4
2lWufuX8T9rr8zSQj9m9Ft,Thunder & Lightning,medium_term,5.818181818181818,2lWufuX8T9rr8zSQj9m9Ft,0.995,0.343,-3.79,0.0382,134.928,1,0.155,0.00233,0.136,186013,4
4TOMI010Sd4ZAX4aZ5TS85,Perfect Day,medium_term,5.757575757575758,4TOMI010Sd4ZAX4aZ5TS85,0.267,0.4,-12.488,0.0872,144.799,1,0.0323,0.744,0.00734,225000,3
5Jux7nevG4VaJNfI6jKoka,Matador,medium_term,5.696969696969697,5Jux7nevG4VaJNfI6jKoka,0.836,0.462,-4.512,0.565,146.944,0,0.0365,0.00172,0.0186,199360,4
6Qb7gtV6Q4MnUjSbkFcopl,50 Ways to Leave Your Lover,medium_term,5.636363636363637,6Qb7gtV6Q4MnUjSbkFcopl,0.372,0.815,-12.814,0.293,101.684,1,0.0752,0.166,0.000116,217347,4
