id,name,range,rating,id_copy,energy,danceability,loudness,valence,tempo,mode,speechiness,acousticness,instrumentalness,duration_ms,time_signature,pitches,timbre,key,mode,id_copy_2
1ZyfAtLlLn1ydIB8REV2OY,What Makes Me Think About You,short_term,2.4242424242424243,1ZyfAtLlLn1ydIB8REV2OY,0.696,0.524,-9.102,0.384,168.994,1,0.0438,0.456,0.687,251827,4,"[0.32, 0.42, 0.32, 0.18, 0.4, 0.24, 0.27, 0.23, 0.32, 0.61, 0.33, 0.4]","[44.82, -42.67, -6.97, -1.77, 16.97, -29.27, -5.91, -6.73, -5.8, -0.93, -7.15, -2.94]",85.71428571428571,0.56,1ZyfAtLlLn1ydIB8REV2OY
3FJ4suZo6FuW0xmARmE0R4,Kaini Industries,short_term,2.1818181818181817,3FJ4suZo6FuW0xmARmE0R4,0.0189,0.343,-30.354,0.719,77.118,1,0.0359,0.99,0.924,59293,4,"[0.2, 0.32, 0.16, 0.27, 0.18, 0.28, 0.3, 0.21, 0.46, 0.28, 0.33, 0.38]","[24.82, -188.69, -41.66, -29.07, 55.03, -36.64, 9.54, 14.81, -18.22, -3.31, -10.96, -6.55]",0.0,1.0,3FJ4suZo6FuW0xmARmE0R4
3JhOqm1Qc6HntAZP8Mz1uo,From Pink They Fell Into Blue,short_term,2.121212121212121,3JhOqm1Qc6HntAZP8Mz1uo,0.68,0.601,-7.774,0.267,106.671,1,0.0637,0.456,4.34e-05,227834,4,"[0.38, 0.39, 0.32, 0.36, 0.38, 0.36, 0.44, 0.33, 0.56, 0.44, 0.38, 0.39]","[46.19, 8.38, -7.72, -13.5, 31.66, -24.01, -1.2, 1.65, -4.82, -8.07, -6.0, 9.64]",88.88888888888889,0.9,3JhOqm1Qc6HntAZP8Mz1uo
3Nyhz7qoHbzNhfvbicO02D,Girl Like Sally (feat. Kirin J Callinan),short_term,2.060606060606061,3Nyhz7qoHbzNhfvbicO02D,0.691,0.74,-8.557,0.627,109.875,1,0.026,0.433,0.014,313680,4,"[0.38, 0.32, 0.27, 0.18, 0.32, 0.23, 0.34, 0.37, 0.24, 0.47, 0.22, 0.35]","[47.39, -29.25, -2.54, -2.06, 28.41, -26.72, -3.03, -9.47, -10.75, -4.95, -7.22, -5.9]",90.0,0.85,3Nyhz7qoHbzNhfvbicO02D
3xWSvA1I12TzogevV5HE4M,Pieces of Sound,short_term,1.93939393939394,3xWSvA1I12TzogevV5HE4M,0.936,0.495,-7.337,0.808,99.958,0,0.0641,0.54,0.656,41307,4,"[0.56, 0.34, 0.47, 0.31, 0.28, 0.56, 0.41, 0.55, 0.34, 0.54, 0.54, 0.36]","[50.06, -16.78, 48.97, 1.54, 2.84, -29.68, 0.84, 7.13, -18.36, -10.03, -0.57, 9.25]",50.00000000000001,0.5,3xWSvA1I12TzogevV5HE4M
42yyhfzkfJIjNHSy1deT0A,Love Theme (feat. Kadhja Bonet),short_term,1.878787878787879,42yyhfzkfJIjNHSy1deT0A,0.499,0.583,-10.617,0.354,160.024,0,0.0341,0.644,0.455,326427,4,"[0.5, 0.36, 0.19, 0.21, 0.25, 0.59, 0.22, 0.22, 0.37, 0.26, 0.38, 0.24]","[43.17, -46.28, -14.04, -5.75, 23.87, -30.21, -4.59, -9.53, -4.44, 0.19, -5.04, 0.19]",90.9090909090909,0.53,42yyhfzkfJIjNHSy1deT0A
48X4D1FYOShPz2VF3YdfCF,House Of Cards,short_term,1.8181818181818183,48X4D1FYOShPz2VF3YdfCF,0.499,0.708,-9.644,0.628,111.652,1,0.0297,0.269,0.57,328293,4,"[0.59, 0.61, 0.3, 0.2, 0.21, 0.52, 0.2, 0.29, 0.13, 0.26, 0.16, 0.12]","[45.79, -52.97, -31.64, -9.5, -1.46, -28.66, -2.2, -15.72, -0.27, -4.26, -8.62, -0.6]",91.66666666666667,0.78,48X4D1FYOShPz2VF3YdfCF
4i2F35b5tamKhvMsf0wuuL,Live to Win,short_term,1.6969696969696972,4i2F35b5tamKhvMsf0wuuL,0.949,0.224,-5.137,0.559,204.75,1,0.0674,0.00636,0.0321,216053,4,"[0.52, 0.6, 0.33, 0.39, 0.31, 0.5, 0.44, 0.32, 0.37, 0.28, 0.42, 0.37]","[53.58, 102.78, 7.42, -18.8, 9.49, -30.13, -7.9, 2.07, -6.34, -1.93, -6.0, 4.49]",90.0,0.69,4i2F35b5tamKhvMsf0wuuL
4pWIwnnqx8k01fuF95UMIg,Bodysnatchers,short_term,1.636363636363637,4pWIwnnqx8k01fuF95UMIg,0.976,0.342,-4.986,0.733,166.663,1,0.0573,0.00443,0.0175,242293,4,"[0.46, 0.6, 0.65, 0.33, 0.34, 0.33, 0.35, 0.38, 0.3, 0.43, 0.28, 0.25]","[52.91, 2.59, 22.52, -5.1, 9.89, -31.2, 14.82, -6.06, -10.36, -3.15, -6.38, -4.69]",87.5,0.7,4pWIwnnqx8k01fuF95UMIg
4sTXJ6PF8UCycBMlDtB6n6,Ocean Road,short_term,1.5757575757575752,4sTXJ6PF8UCycBMlDtB6n6,0.91,0.452,-4.12,0.464,104.61,0,0.0624,0.0177,0.931,160565,3,"[0.63, 0.44, 0.39, 0.37, 0.36, 0.58, 0.35, 0.36, 0.32, 0.33, 0.31, 0.44]","[52.26, 24.36, 45.57, 1.09, 6.6, -28.58, 12.25, -0.15, -9.45, -4.24, -5.58, -1.8]",83.33333333333334,0.56,4sTXJ6PF8UCycBMlDtB6n6
